Order #,Invoice Amount,Invoice Date
1000101,"$1,425.11",06/01/2026
1000102,$205.58,06/02/2026
1000103,$196.10,06/03/2026
1000104,$133.46,06/04/2026
1000105,$538.61,06/05/2026
1000106,$674.23,06/06/2026
1000107,"$1,611.86",06/07/2026
1000108,$118.85,06/08/2026
1000109,"$1,256.17",06/09/2026
1000110,$895.35,06/10/2026
1000111,"$1,194.82",06/11/2026
1000112,"$1,589.16",06/12/2026
1000113,$552.02,06/13/2026
1000114,"$1,400.85",06/14/2026
1000115,$652.48,06/15/2026
1000116,"$1,718.48",06/16/2026
1000117,$811.10,06/17/2026
1000118,"$1,350.12",06/18/2026
1000119,$52.04,06/19/2026
1000120,"$1,776.57",06/20/2026
1000121,$262.79,06/21/2026
1000122,"$1,238.86",06/22/2026
1000123,"$1,756.52",06/23/2026
1000124,$769.18,06/24/2026
1000125,"$1,106.34",06/25/2026
1000126,"$1,485.11",06/26/2026
1000127,$258.11,06/27/2026
1000128,$705.83,06/01/2026
1000999,TBD,06/23/2026
