PO Number,Net Paid,Paid On,Description
1000101,N/A,06/22/2026,amount missing
1000108-1,$136.67,06/20/2026,
1000113,$552.02,06/25/2026,
1000104x2,$133.46,06/16/2026,
1000120-1,"$1,776.57",07/02/2026,
1000105-3,$538.61,06/17/2026,
1000122x2,$991.08,07/04/2026,
1000124,$769.18,07/06/2026,
1000101,($25.00),06/13/2026,Freight deduction
1000110x2,$895.35,06/22/2026,
1000111-3,"$1,194.82",06/23/2026,
1000115_782,$652.48,06/27/2026,
1000107,"$1,853.63",06/19/2026,
1000117-3,$648.88,06/29/2026,
,$50.00,06/22/2026,no PO on this line
1999003,($18.00),06/21/2026,Damaged goods claim
1000106,$674.23,06/18/2026,
1000126-1,"$1,485.11",07/08/2026,
1999001,$312.50,06/20/2026,"Remittance, no order"
1000126-1,"$1,485.11",07/08/2026,
1000124,$769.18,07/06/2026,
1999002-1,$88.00,06/21/2026,"Remittance, no order"
1000125,($25.00),07/07/2026,Freight deduction
1000112,"$1,589.16",06/24/2026,
1000103_782,$196.10,06/15/2026,
1000125,"$1,106.34",07/07/2026,
1000119,$59.84,07/01/2026,
1000102-1,$205.58,06/14/2026,
1000101,"$1,425.11",06/13/2026,
1000109_782,"$1,004.93",06/21/2026,
1000116x2,"$1,718.48",06/28/2026,
1000114-1,"$1,400.85",06/26/2026,
1000121_782,$262.79,07/03/2026,
