PO,Total,Date
2088012070,365.41,2026-06-01
2088012077,1095.08,2026-06-02
2088012084,1162.98,2026-06-03
2088012091,618.01,2026-06-04
2088012098,61.23,2026-06-05
2088012105,767.25,2026-06-06
2088012112,2325.79,2026-06-07
2088012119,2166.09,2026-06-08
2088012126,1613.83,2026-06-09
2088012133,857.29,2026-06-10
2088012140,2379.62,2026-06-11
2088012147,111.46,2026-06-12
2088012154,612.36,2026-06-13
2088012161,551.01,2026-06-14
2088012168,1093.56,2026-06-15
2088012175,2299.69,2026-06-16
2088012182,1638.15,2026-06-17
2088012189,1742.53,2026-06-18
2088012196,1572.46,2026-06-19
2088012203,323.01,2026-06-20
2088012210,170.38,2026-06-21
2088012217,443.67,2026-06-22
