Retailer B Remittance Report
Run date: 2026-07-02,Currency: USD

Invoice Ref,Amount,Posting Date,Reason
2.088012217E+9,-443.63,2026-07-01,Remittance
2.088012105E+9,-767.25,2026-06-15,Remittance
2088999002,12.00,2026-06-21,Freight charge
2088012154.0,-551.12,2026-06-22,Remittance
2.088012133E+9,-857.29,2026-06-19,Remittance
2088012084,30.00,2026-06-12,Commission and referral fee
2088012168,30.00,2026-06-24,Commission and referral fee
2088012091,-618.01,2026-06-13,Remittance
2088012210.0,-170.38,2026-06-30,Remittance
2088012175,-2759.62,2026-06-25,Remittance
2.088012189E+9,-1742.53,2026-06-27,Remittance
2088012182.0,-1638.15,2026-06-26,Remittance
2088012084,-1162.98,2026-06-12,Remittance
2088999001,-450.00,2026-06-20,"Remittance, no order"
2088012070.0,-365.41,2026-06-10,Remittance
2.088012077E+9,-1095.08,2026-06-11,Remittance
2088012140,-2379.62,2026-06-20,Remittance
2088012119,-2166.05,2026-06-17,Remittance
2088012126.0,-1452.44,2026-06-18,Remittance
2088012196,-1572.46,2026-06-28,Remittance
2088012070.0,-365.41,2026-06-10,Remittance
2088012112,-2790.94,2026-06-16,Remittance
2088012168,-1093.56,2026-06-24,Remittance
2088012098.0,-61.23,2026-06-14,Remittance
