invoice_id,account_code,po_number,invoice_amount,total_paid,difference,status,payment_count
1,AC2000,PO100001,1830.62,0.0,1830.62,Unpaid,0
2,AC3000,PO100002,464.62,0.0,464.62,Unpaid,0
3,AC4000,PO100003,1775.13,1775.13,0.0,Paid,1
4,AC2000,PO100005,1502.73,1502.73,0.0,Paid,1
5,AC4000,PO100006,1800.75,1161.12,639.63,Short Pay,1
6,AC4000,PO100007,227.27,0.0,227.27,Unpaid,0
7,AC1000,PO100008,348.04,348.04,0.0,Paid,1
8,AC1000,PO100009,800.3,1039.61,-239.31,Overpaid,1
9,AC1000,PO100010,1376.55,1376.55,0.0,Paid,1
10,AC3000,PO100011,267.53,291.48,-23.95,Overpaid,1
11,AC3000,PO100012,1945.18,2129.32,-184.14,Overpaid,1
12,AC3000,PO100013,1691.26,1691.26,0.0,Paid,1
13,AC2000,PO100014,779.13,557.66,221.47,Short Pay,1
14,AC3000,PO100015,1002.78,874.06,128.72,Short Pay,1
15,AC2000,PO100016,162.95,194.21,-31.26,Overpaid,1
16,AC1000,PO100017,1477.22,0.0,1477.22,Unpaid,0
17,AC1000,PO100018,1957.07,0.0,1957.07,Unpaid,0
18,AC2000,PO100019,300.36,300.36,0.0,Paid,1
19,AC2000,PO100021,1861.38,2294.12,-432.74,Overpaid,1
20,AC3000,PO100022,828.03,828.03,0.0,Paid,1
21,AC4000,PO100023,1804.25,1804.25,0.0,Paid,1
22,AC2000,PO100024,488.16,488.16,0.0,Paid,1
23,AC2000,PO100025,1197.46,1197.46,0.0,Paid,1
24,AC1000,PO100026,496.44,496.44,0.0,Paid,1
25,AC2000,PO100028,593.03,1186.06,-593.03,Duplicate,2
26,AC4000,PO100029,523.84,0.0,523.84,Unpaid,0
27,AC4000,PO100030,421.3,842.6,-421.3,Duplicate,2
28,AC4000,PO100031,851.65,851.65,0.0,Paid,1
29,AC1000,PO100032,168.19,336.38,-168.19,Duplicate,2
30,AC2000,PO100033,423.6,423.6,0.0,Paid,1
31,AC2000,PO100034,872.67,872.67,0.0,Paid,1
32,AC2000,PO100035,1755.25,0.0,1755.25,Unpaid,0
33,AC4000,PO100036,1625.64,1170.67,454.97,Short Pay,1
34,AC1000,PO100037,1939.54,1554.4,385.14,Short Pay,1
35,AC2000,PO100038,842.51,929.66,-87.15,Overpaid,1
36,AC1000,PO100039,371.04,0.0,371.04,Unpaid,0
37,AC4000,PO100040,567.15,567.15,0.0,Paid,1
38,AC2000,PO100042,420.3,0.0,420.3,Unpaid,0
39,AC1000,PO100043,1179.4,2358.8,-1179.4,Duplicate,2
40,AC1000,PO100044,147.78,147.78,0.0,Paid,1
41,AC1000,PO100045,1923.52,1923.52,0.0,Paid,1
42,AC1000,PO100046,1210.32,1210.32,0.0,Paid,1
43,AC4000,PO100047,283.78,283.78,0.0,Paid,1
44,AC1000,PO100048,1257.79,0.0,1257.79,Unpaid,0
45,AC3000,PO100049,1872.68,1872.68,0.0,Paid,1
46,AC2000,PO100050,567.95,436.57,131.38,Short Pay,1
47,AC4000,PO100051,666.55,582.76,83.79,Short Pay,1
48,AC4000,PO100052,1261.26,1133.16,128.1,Short Pay,1
49,AC2000,PO100053,1036.48,1036.48,0.0,Paid,1
50,AC1000,PO100054,1764.58,1764.58,0.0,Paid,1
51,AC2000,PO100055,904.46,904.46,0.0,Paid,1
52,AC3000,PO100057,1866.92,0.0,1866.92,Unpaid,0
53,AC2000,PO100058,565.71,565.71,0.0,Paid,1
54,AC2000,PO100059,581.08,0.0,581.08,Unpaid,0
55,AC2000,PO100060,1449.34,1449.34,0.0,Paid,1
56,AC4000,PO100061,539.69,539.69,0.0,Paid,1
57,AC1000,PO100062,1286.85,785.84,501.01,Short Pay,1
58,AC3000,PO100063,1553.68,1385.76,167.92,Short Pay,1
59,AC4000,PO100064,1125.78,1125.78,0.0,Paid,1
