invoice_id,account_code,po_number,invoice_amount,total_paid,difference,payment_count,status
1,AC2000,PO100001,1830.62,0,1830.62,0,Unpaid
2,AC3000,PO100002,464.62,0,464.62,0,Unpaid
3,AC4000,PO100003,1775.13,1775.13,0.0,1,Paid
4,AC2000,PO100005,1502.73,1502.73,0.0,1,Paid
5,AC4000,PO100006,1800.75,1161.12,639.63,1,Short Pay
6,AC4000,PO100007,227.27,0,227.27,0,Unpaid
7,AC1000,PO100008,348.04,348.04,0.0,1,Paid
8,AC1000,PO100009,800.3,1039.61,-239.31,1,Overpaid
9,AC1000,PO100010,1376.55,1376.55,0.0,1,Paid
10,AC3000,PO100011,267.53,291.48,-23.95,1,Overpaid
11,AC3000,PO100012,1945.18,2129.32,-184.14,1,Overpaid
12,AC3000,PO100013,1691.26,1691.26,0.0,1,Paid
13,AC2000,PO100014,779.13,557.66,221.47,1,Short Pay
14,AC3000,PO100015,1002.78,874.06,128.72,1,Short Pay
15,AC2000,PO100016,162.95,194.21,-31.26,1,Overpaid
16,AC1000,PO100017,1477.22,0,1477.22,0,Unpaid
17,AC1000,PO100018,1957.07,0,1957.07,0,Unpaid
18,AC2000,PO100019,300.36,300.36,0.0,1,Paid
19,AC2000,PO100021,1861.38,2294.12,-432.74,1,Overpaid
20,AC3000,PO100022,828.03,828.03,0.0,1,Paid
21,AC4000,PO100023,1804.25,1804.25,0.0,1,Paid
22,AC2000,PO100024,488.16,488.16,0.0,1,Paid
23,AC2000,PO100025,1197.46,1197.46,0.0,1,Paid
24,AC1000,PO100026,496.44,496.44,0.0,1,Paid
25,AC2000,PO100028,593.03,1186.06,-593.03,2,Duplicate
26,AC4000,PO100029,523.84,0,523.84,0,Unpaid
27,AC4000,PO100030,421.3,842.6,-421.3,2,Duplicate
28,AC4000,PO100031,851.65,851.65,0.0,1,Paid
29,AC1000,PO100032,168.19,336.38,-168.19,2,Duplicate
30,AC2000,PO100033,423.6,423.6,0.0,1,Paid
31,AC2000,PO100034,872.67,872.67,0.0,1,Paid
32,AC2000,PO100035,1755.25,0,1755.25,0,Unpaid
33,AC4000,PO100036,1625.64,1170.67,454.97,1,Short Pay
34,AC1000,PO100037,1939.54,1554.4,385.14,1,Short Pay
35,AC2000,PO100038,842.51,929.66,-87.15,1,Overpaid
36,AC1000,PO100039,371.04,0,371.04,0,Unpaid
37,AC4000,PO100040,567.15,567.15,0.0,1,Paid
38,AC2000,PO100042,420.3,0,420.3,0,Unpaid
39,AC1000,PO100043,1179.4,2358.8,-1179.4,2,Duplicate
40,AC1000,PO100044,147.78,147.78,0.0,1,Paid
41,AC1000,PO100045,1923.52,1923.52,0.0,1,Paid
42,AC1000,PO100046,1210.32,1210.32,0.0,1,Paid
43,AC4000,PO100047,283.78,283.78,0.0,1,Paid
44,AC1000,PO100048,1257.79,0,1257.79,0,Unpaid
45,AC3000,PO100049,1872.68,1872.68,0.0,1,Paid
46,AC2000,PO100050,567.95,436.57,131.38,1,Short Pay
47,AC4000,PO100051,666.55,582.76,83.79,1,Short Pay
48,AC4000,PO100052,1261.26,1133.16,128.1,1,Short Pay
49,AC2000,PO100053,1036.48,1036.48,0.0,1,Paid
50,AC1000,PO100054,1764.58,1764.58,0.0,1,Paid
51,AC2000,PO100055,904.46,904.46,0.0,1,Paid
52,AC3000,PO100057,1866.92,0,1866.92,0,Unpaid
53,AC2000,PO100058,565.71,565.71,0.0,1,Paid
54,AC2000,PO100059,581.08,0,581.08,0,Unpaid
55,AC2000,PO100060,1449.34,1449.34,0.0,1,Paid
56,AC4000,PO100061,539.69,539.69,0.0,1,Paid
57,AC1000,PO100062,1286.85,785.84,501.01,1,Short Pay
58,AC3000,PO100063,1553.68,1385.76,167.92,1,Short Pay
59,AC4000,PO100064,1125.78,1125.78,0.0,1,Paid
60,AC1000,PO100065,196.73,152.74,43.99,1,Short Pay
61,AC1000,PO100066,1677.46,1677.46,0.0,1,Paid
62,AC4000,PO100067,298.52,298.52,0.0,1,Paid
63,AC1000,PO100068,1802.9,1802.9,0.0,1,Paid
64,AC1000,PO100069,739.67,631.42,108.25,1,Short Pay
65,AC2000,PO100070,1855.24,3710.48,-1855.24,2,Duplicate
66,AC4000,PO100071,98.33,98.33,0.0,1,Paid
67,AC4000,PO100072,1614.36,1991.74,-377.38,1,Overpaid
68,AC3000,PO100073,360.44,0,360.44,0,Unpaid
69,AC1000,PO100074,795.96,795.96,0.0,1,Paid
70,AC3000,PO100076,645.12,645.12,0.0,1,Paid
71,AC2000,PO100077,96.15,96.15,0.0,1,Paid
72,AC3000,PO100078,593.28,593.28,0.0,1,Paid
73,AC3000,PO100080,1881.51,1600.82,280.69,1,Short Pay
74,AC2000,PO100081,1182.15,1182.15,0.0,1,Paid
75,AC3000,PO100083,1470.66,0,1470.66,0,Unpaid
76,AC4000,PO100084,1232.11,2464.22,-1232.11,2,Duplicate
77,AC2000,PO100085,546.71,546.71,0.0,1,Paid
78,AC1000,PO100086,1063.84,1260.24,-196.4,1,Overpaid
79,AC3000,PO100087,891.03,1782.06,-891.03,2,Duplicate
80,AC1000,PO100088,1453.52,1710.47,-256.95,1,Overpaid
81,AC3000,PO100089,834.68,602.44,232.24,1,Short Pay
82,AC4000,PO100090,1346.61,1346.61,0.0,1,Paid
83,AC3000,PO100091,841.85,841.85,0.0,1,Paid
84,AC3000,PO100092,609.48,1218.96,-609.48,2,Duplicate
85,AC4000,PO100093,912.21,912.21,0.0,1,Paid
86,AC1000,PO100095,603.38,603.38,0.0,1,Paid
87,AC1000,PO100096,1645.93,0,1645.93,0,Unpaid
88,AC2000,PO100097,1361.95,1704.67,-342.72,1,Overpaid
89,AC1000,PO100098,140.12,140.12,0.0,1,Paid
90,AC4000,PO100099,858.16,626.69,231.47,1,Short Pay
91,AC4000,PO100100,829.32,1658.64,-829.32,2,Duplicate
92,AC4000,PO100101,476.74,476.74,0.0,1,Paid
93,AC1000,PO100102,1136.94,1136.94,0.0,1,Paid
94,AC4000,PO100103,310.01,310.01,0.0,1,Paid
95,AC4000,PO100104,1244.67,1244.67,0.0,1,Paid
96,AC4000,PO100105,1799.56,1799.56,0.0,1,Paid
97,AC4000,PO100106,555.42,555.42,0.0,1,Paid
