payment_id,account_code,po_number,payment_amount,payment_date,payment_ref
2,AC4000,PO100004,114.29,2026-06-30,PMT2
15,AC2000,PO100020,169.28,2026-07-04,PMT15
22,AC1000,PO100027,436.84,2026-07-06,PMT22
36,AC4000,PO100041,178.36,2026-07-16,PMT36
50,AC2000,PO100056,325.25,2026-06-23,PMT50
67,AC1000,PO100075,150.1,2026-06-21,PMT67
71,AC3000,PO100079,208.02,2026-06-20,PMT71
74,AC2000,PO100082,98.78,2026-06-27,PMT74
88,AC4000,PO100094,407.18,2026-06-17,PMT88
101,AC4000,PO100107,394.62,2026-06-28,PMT101
